,Ligand Amount (mg),Reaction Temperature (C),Cs/Pb Ratio,Yb/Pb Ratio,Ligand
0,23.4,235.0,0.9,2.7,ASC-10
1,9.0,255.3,1.3,3.8,ASC-10
2,29.9,224.2,1.5,1.9,ASC-10
3,23.4,235.0,0.9,2.7,ASC-12
4,9.0,255.3,1.3,3.8,ASC-12
5,29.9,224.2,1.5,1.9,ASC-12
6,23.4,235.0,0.9,2.7,ASC-14
7,9.0,255.3,1.3,3.8,ASC-14
8,29.9,224.2,1.5,1.9,ASC-14
9,23.4,235.0,0.9,2.7,ASC-16
10,9.0,255.3,1.3,3.8,ASC-16
11,29.9,224.2,1.5,1.9,ASC-16
12,23.4,235.0,0.9,2.7,MAPCHO-10
13,9.0,255.3,1.3,3.8,MAPCHO-10
14,29.9,224.2,1.5,1.9,MAPCHO-10
15,23.4,235.0,0.9,2.7,MAPCHO-12
16,9.0,255.3,1.3,3.8,MAPCHO-12
17,29.9,224.2,1.5,1.9,MAPCHO-12
18,23.4,235.0,0.9,2.7,MAPCHO-14
19,9.0,255.3,1.3,3.8,MAPCHO-14
20,29.9,224.2,1.5,1.9,MAPCHO-14
21,23.4,235.0,0.9,2.7,MAPCHO-16
22,9.0,255.3,1.3,3.8,MAPCHO-16
23,29.9,224.2,1.5,1.9,MAPCHO-16
24,23.4,235.0,0.9,2.7,Lecithin
25,9.0,255.3,1.3,3.8,Lecithin
26,29.9,224.2,1.5,1.9,Lecithin
27,21.8,249.7,0.4,3.4,ASC-10
28,10.8,238.5,0.8,2.4,ASC-10
29,6.8,229.0,0.6,4.4,ASC-10
30,16.2,227.1,0.4,2.8,ASC-12
31,9.9,247.6,1.1,2.0,ASC-12
32,24.7,231.0,0.5,1.5,ASC-12
33,18.9,265.4,0.7,3.1,ASC-14
34,21.6,232.7,1.3,2.4,ASC-14
35,8.3,264.7,0.3,4.1,ASC-14
36,12.5,242.1,0.9,1.7,ASC-16
37,12.1,253.5,1.3,4.2,ASC-16
38,14.5,259.6,0.5,3.4,ASC-16
39,27.4,257.7,0.8,2.9,MAPCHO-10
40,13.6,267.4,1.1,2.1,MAPCHO-10
41,25.5,235.5,1.2,1.7,MAPCHO-10
42,15.5,225.9,0.8,3.6,MAPCHO-12
43,26.1,260.9,0.5,3.1,MAPCHO-12
44,17.6,263.1,0.7,3.8,MAPCHO-12
45,20.0,268.4,1.0,3.6,MAPCHO-14
46,5.2,251.4,1.4,4.0,MAPCHO-14
47,17.4,220.4,0.6,3.9,MAPCHO-14
48,20.8,246.0,1.0,4.5,MAPCHO-16
49,11.5,253.0,1.2,2.5,MAPCHO-16
50,28.9,243.9,1.6,2.9,MAPCHO-16
51,27.9,241.5,1.4,2.0,Lecithin
52,22.8,237.0,1.1,2.2,Lecithin
53,5.9,222.3,1.5,3.3,Lecithin
